,loss,box_loss,classification_loss,percent_boxes_matched_with_anchor,val_loss,val_box_loss,val_classification_loss,val_percent_boxes_matched_with_anchor,val_AP,val_AP50,val_AP75,val_APs,val_APm,val_APl,val_ARmax1,val_ARmax10,val_ARmax100,val_ARs,val_ARm,val_ARl
0,0.7379357814788818,0.33708009123802185,0.4008558690547943,0.9659753441810608,772.2562866210938,0.6138865351676941,771.6424560546875,0.9650248289108276,0.0026228686,0.0081500625,0.0012376697,0.0002893379,0.008386418,0.005744327,0.10069572,0.10845343,0.11085727,0.010620241,0.18191148,0.3154412
1,0.4598529636859894,0.22026513516902924,0.2395876944065094,0.966087818145752,71.47213745117188,0.41382014751434326,71.05831909179688,0.9649213552474976,0.021181397,0.06670148,0.0059929206,0.0058889994,0.053938687,0.013689813,0.16911308,0.19219376,0.20851073,0.02889766,0.17460476,0.4515625
2,0.39482581615448,0.1926235556602478,0.20220279693603516,0.9660732746124268,1.099008321762085,0.22300636768341064,0.8760020136833191,0.9649213552474976,0.11494946,0.25709087,0.07062671,0.04678398,0.15817837,0.24242903,0.30518717,0.3277074,0.32926992,0.079006106,0.33766583,0.55260414
3,0.3548848628997803,0.17770607769489288,0.17717894911766052,0.965968132019043,1.3464716672897339,0.20462532341480255,1.1418464183807373,0.9648696184158325,0.11401148,0.3065926,0.037197378,0.104473434,0.17148697,0.17455405,0.32332507,0.34284812,0.3473218,0.10824751,0.3427194,0.46087718
4,0.33495402336120605,0.16811895370483398,0.16683481633663177,0.9661240577697754,14.168656349182129,0.3853503167629242,13.783307075500488,0.9648696184158325,0.060486753,0.13798127,0.027722262,0.09818618,0.18201804,0.0036042812,0.2583474,0.2847087,0.31374738,0.11312331,0.35062242,0.47916666
5,0.30747005343437195,0.15783415734767914,0.14963585138320923,0.9660080075263977,1.3372719287872314,0.20784690976142883,1.1294246912002563,0.9648696184158325,0.11686759,0.25306422,0.06866168,0.12490764,0.19961584,0.059719108,0.33298585,0.36928648,0.37008435,0.14533333,0.37802958,0.5760638
6,0.30320221185684204,0.15545815229415894,0.1477440893650055,0.9660805463790894,0.9796040654182434,0.1833517998456955,0.7962521910667419,0.9649213552474976,0.24768932,0.47071752,0.19481352,0.12527214,0.22630768,0.336872,0.37825865,0.39473882,0.39473882,0.14095369,0.39754704,0.5473958
7,0.290533185005188,0.1530867964029312,0.13744671642780304,0.9661639928817749,0.5831476449966431,0.1754554808139801,0.4076921045780182,0.9648696184158325,0.3031182,0.62074,0.22479557,0.123504706,0.26448274,0.47720745,0.38075665,0.3860304,0.3860304,0.13524881,0.39601967,0.5129824
8,0.2808842360973358,0.14867664873600006,0.13220766186714172,0.9659826159477234,0.46771928668022156,0.16214261949062347,0.305576890707016,0.9650248289108276,0.37525722,0.7471863,0.27008253,0.17094606,0.33911085,0.62384975,0.43204516,0.43335113,0.43335113,0.1771094,0.41006625,0.6592105
9,0.26637905836105347,0.14415152370929718,0.12222756445407867,0.965989887714386,0.455095112323761,0.14673635363578796,0.3083586096763611,0.9648696184158325,0.39682359,0.74140203,0.32127175,0.1637919,0.42523336,0.55057085,0.4534209,0.45549157,0.45549157,0.18293618,0.5018648,0.5885417
